Country;Nationality
Afghanistan;Afghan
Albania;Albanian
Algeria;Algerian
Andorra;Andorran
Angola;Angolan
Argentina;Argentinian
Armenia;Armenian
Australia;Australian
Austria;Austrian
Azerbaijan;Azerbaijani
Bahamas;Bahamian
Bangladesh;Bangladeshi
Bahrain;Bahraini
Barbados;Barbadian
Belarus;Belorussian
Belgium;Belgian
Benin;Beninese
Bhutan;Bhutanese
Bolivia;Bolivian
Bosnia-Herzegovina;Bosnian
Brazil;Brazilian
Britain;Briton
Brunei;Bruneian
Bulgaria;Bulgarian
Burma;Burmese
Burkina;Burkinese
Burundi;Burundian
Cambodia;Cambodian
Cameroon;Cameroonian
Canada;Canadian
Cape Verde Islands;Cape Verdean
Chad;Chadian
Chile;Chilean
China;Chinese
Colombia;Colombian
Congo;Congolese
Costa Rica;Costa Rican
Croatia;Croatian
Cuba;Cuban
Cyprus;Cypriot
Czech Republic;Czech
Denmark;Danish
Djibouti;Djiboutian
Dominica;Dominican
Ecuador;Ecuadorean
Egypt;Egyptian
El Salvador;Salvadorean
England;English
Eritrea;Eritrean
Estonia;Estonian
Ethiopia;Ethiopian
Fiji;Fijian
Finland;Finnish
France;French
Gabon;Gabonese
Gambia;Gambian
Georgia;Georgian
Germany;German
Ghana;Ghanaian
Greece;Greek
Grenada;Grenadian
Guatemala;Guatemalan
Guinea;Guinean
Guyana;Guyanese
Haiti;Haitian
Holland (also Netherlands);Dutch
Honduras;Honduran
Hungary;Hungarian
Iceland;Icelandic
India;Indian
Indonesia;Indonesian
Iran;Iranian
Iraq;Iraqi
Ireland;Irish
Italy;Italian
Jamaica;Jamaican
Japan;Japanese
Jordan;Jordanian
Kazakhstan;Kazakh
Kenya;Kenyan
Kuwait;Kuwaiti
Laos;Laotian
Latvia;Latvian
Lebanon;Lebanese
Liberia;Liberian
Libya;Libyan
Lithuania;Lithuanian
Macedonia;Macedonian
Madagascar;Madagascan
Malawi;Malawian
Malaysia;Malaysian
Maldives;Maldivian
Mali;Malian
Malta;Maltese
Mauritania;Mauritanian
Mauritius;Mauritian
Mexico;Mexican
Moldova;Moldovan
Monaco;Monacan
Mongolia;Mongolian
Montenegro;Montenegrin
Morocco;Moroccan
Mozambique;Mozambican
Namibia;Namibian
Nepal;Nepalese
Netherlands;Dutch
New Zealand;New Zealand 
Nicaragua;Nicaraguan
Niger;Nigerien
Nigeria;Nigerian
North Korea;North Korean
Norway;Norwegian
Oman;Omani
Pakistan;Pakistani
Panama;Panamanian
Papua New Guinea;Guinean
Paraguay;Paraguayan
Peru;Peruvian
the Philippines;Filipino
Poland;Polish
Portugal;Portuguese
Qatar;Qatari
Romania;Romanian
Russia;Russian
Rwanda;Rwandan
Saudi Arabia;Saudi
Scotland;Scottish
Senegal;Senegalese
Serbia;Serbian
Seychelles;Seychellois
Sierra Leone;Sierra Leonian
Singapore;Singaporean
Slovakia;Slovak
Slovenia;Slovenian
Somalia;Somali
South Africa;South African
South Korea;South Korean
Spain;Spanish
Sri Lanka;Sri Lankan
Sudan;Sudanese
Suriname;Surinamese
Swaziland;Swazi
Sweden;Swedish
Switzerland;Swiss
Syria;Syrian
Taiwan;Taiwanese
Tajikistan;Tajik
Tanzania;Tanzanian
Thailand;Thai
Togo;Togolese
Trinidad and Tobago;Trinidadian
;Tobagan
;Tobagonian
Tunisia;Tunisian
Turkey;Turkish
Turkmenistan;Turkoman
Tuvalu;Tuvaluan
Uganda;Ugandan
Ukraine;Ukrainian
United Arab Emirates (UAE);UAE
United Kingdom (UK);British
United States of America (USA);US 
Uruguay;Uruguayan
Uzbekistan;Uzbek
Vanuatu;Vanuatuan
Venezuela;Venezuelan
Vietnam;Vietnamese
Wales;Welsh
Western Samoa;Western Samoan
Yemen;Yemeni
Yugoslavia;Yugoslav
Zaire;Zaïrean
Zambia;Zambian
Zimbabwe;Zimbabwean
